"Name","From","To","Ministers"
"Senator the Hon Kate Lundy",05/03/2012,01/07/2013,"Minister for Multicultural Affairs "
"Senator the Hon Kate Lundy",01/07/2013,18/09/2013,"Minister for Multicultural Affairs, Innovation and Industry"
"Senator the Hon Kate Lundy",01/07/2013,18/09/2013,"Minister Assisting for the Digital Economy"
"Senator the Hon Kate Lundy",05/03/2012,01/07/2013,"Minister for Sport "
"Senator the Hon Kay Patterson",21/10/1998,26/11/2001,"Parliamentary Secretary to the Minister for Immigration and Multicultural Affairs"
"Senator the Hon Kay Patterson",16/02/2000,26/11/2001,"Parliamentary Secretary to the Minister for Foreign Affairs"
"Senator the Hon Kay Patterson",26/11/2001,07/10/2003,"Minister for Health and Ageing"
"Senator the Hon Kay Patterson",07/10/2003,21/10/2004,"Minister Assisting the Prime Minister for the Status of Women"
"Senator the Hon Kay Patterson",07/10/2003,27/01/2006,"Minister for Family and Community Services "
"Senator the Hon Kay Patterson",22/10/2004,27/01/2006,"Minister Assisting the Prime Minister for Women's Issues "
"Senator the Hon Kim Carr",03/12/2007,14/12/2011,"Minister for Innovation, Industry, Science and Research"
"Senator the Hon Kim Carr",14/12/2011,05/03/2012,"Minister for Defence Materiel"
"Senator the Hon Kim Carr",14/12/2011,05/03/2012,"Minister for Manufacturing"
"Senator the Hon Kim Carr",05/03/2012,25/03/2013,"Minister for Human Services"
"Senator the Hon Kim Carr",01/07/2013,18/09/2013,"Minister for Innovation, Industry, Science and Research, Higher Education"
"Senator the Hon Mark Arbib",14/09/2010,14/12/2011,"Minister for Social Housing and Homelessness"
"Senator the Hon Mark Arbib",03/03/2011,14/12/2011,"Minister for Indigenous Employment and Economic Development"
"Senator the Hon Mark Arbib",03/03/2011,14/12/2011,"Minister for Social Housing and Homelessness"
"Senator the Hon Mark Arbib",03/03/2011,05/03/2012,"Minister for Sport"
"Senator the Hon Mark Arbib",14/12/2011,05/03/2012,"Assistant Treasurer"
"Senator the Hon Mark Arbib",14/12/2011,05/03/2012,"Manager of Government Business in the Senate"
"Senator the Hon Mark Arbib",14/12/2011,05/03/2012,"Minister for Small Business"
"Senator the Hon Matt Thistlethwaite",25/03/2013,18/09/2013,"Parliamentary Secretary for Multicultural Affairs"
"Senator the Hon Matt Thistlethwaite",25/03/2013,18/09/2013,"Parliamentary Secretary for Pacific Island Affairs"
"Senator the Hon Nick Minchin",11/03/1996,09/10/1997,"Parliamentary Secretary to the Prime Minister"
"Senator the Hon Nick Minchin",09/10/1997,21/10/1998,"Minister Assisting the Prime Minister"
"Senator the Hon Nick Minchin",09/10/1997,21/10/1998,"Special Minister of State"
"Senator the Hon Nick Minchin",21/10/1998,26/11/2001,"Minister for Industry, Science and Resources"
"Senator the Hon Nick Minchin",26/11/2001,03/12/2007,"Minister for Finance and Administration"
"Senator the Hon Nick Minchin",07/10/2003,27/01/2006,"Deputy Leader of the Government in the Senate"
"Senator the Hon Nick Minchin",18/07/2004,03/12/2007,"Vice-President of the Executive Council"
"Senator the Hon Nick Minchin",27/01/2006,03/12/2007,"Leader of the Government in the Senate"
"Senator the Hon Nick Sherry",03/12/2007,09/06/2009,"Minister for Superannuation and Corporate Law"
"Senator the Hon Nick Sherry",09/06/2009,14/09/2010,"Assistant Treasurer"
"Senator the Hon Nick Sherry",14/09/2010,26/01/2011,"Minister Assisting on Deregulation"
"Senator the Hon Nick Sherry",14/09/2010,14/12/2011,"Minister Assisting the Minister for Tourism"
"Senator the Hon Nick Sherry",14/09/2010,14/12/2011,"Minister for Small Business"
"Senator the Hon Nick Sherry",26/01/2011,14/12/2011,"Minister Assisting on Deregulation and Public Sector Superannuation"
"Senator the Hon Nigel Scullion",30/01/2007,03/12/2007,"Minister for Community Services"
"Senator the Hon Penny Wong",03/12/2007,14/09/2010,"Minister for Climate Change and Water"
"Senator the Hon Penny Wong",14/09/2010,18/09/2013,"Minister for Finance and Deregulation"
"Senator the Hon Penny Wong",04/02/2013,26/06/2013,"Deputy Leader of the Government in the Senate"
"Senator the Hon Penny Wong",26/06/2013,18/09/2013,"Leader of the Government in the Senate"
"Senator the Hon Richard Alston",11/03/1996,07/10/2003,"Deputy Leader of the Government in the Senate"
"Senator the Hon Richard Alston",11/03/1996,09/10/1997,"Minister for Communications and the Arts"
"Senator the Hon Richard Alston",09/10/1997,21/10/1998,"Minister for Communications, the Information Economy and the Arts"
"Senator the Hon Richard Alston",21/10/1998,07/10/2003,"Minister for Communications, Information Technology and the Arts"
"Senator the Hon Richard Colbeck",22/10/2004,27/01/2006,"Parliamentary Secretary to the Minister for Agriculture, Fisheries and Forestry"
"Senator the Hon Richard Colbeck",27/01/2006,03/12/2007,"Parliamentary Secretary to the Minister for Finance and Administration"
"Senator the Hon Robert Hill",11/03/1996,27/01/2006,"Leader of the Government in the Senate"
"Senator the Hon Robert Hill",11/03/1996,21/10/1998,"Minister for the Environment"
"Senator the Hon Robert Hill",21/10/1998,26/11/2001,"Minister for the Environment and Heritage"
"Senator the Hon Robert Hill",26/11/2001,27/01/2006,"Minister for Defence"
"Senator the Hon Ron Boswell",20/07/1999,07/10/2003,"Parliamentary Secretary to the Minister for Transport and Regional Services"
"Senator the Hon Santo Santoro",27/01/2006,21/03/2007,"Minister for Ageing"
"Senator the Hon Stephen Conroy",03/12/2007,04/02/2013,"Deputy Leader of the Government in the Senate"
"Senator the Hon Stephen Conroy",03/12/2007,26/06/2013,"Minister for Broadband, Communications and the Digital Economy"
"Senator the Hon Stephen Conroy",14/09/2010,26/06/2013,"Minister Assisting the Prime Minister on Digital Productivity"
"Senator the Hon Stephen Conroy",04/02/2013,26/06/2013,"Leader of the Government in the Senate"
"Senator the Hon Ursula Stephens",03/12/2007,09/06/2009,"Parliamentary Secretary Assisting the Prime Minister for Social Inclusion"
"Senator the Hon Ursula Stephens",03/12/2007,14/09/2010,"Parliamentary Secretary for Social Inclusion and the Voluntary Sector"
"Senator the Hon Warwick Parer",11/03/1996,21/10/1998,"Minister for Resources and Energy"
"Senator the Hon. Mark Arbib",25/02/2009,09/06/2009,"Parliamentary Secretary for Government Service Delivery"
"Senator the Hon. Mark Arbib",09/06/2009,14/09/2010,"Minister Assisting the Prime Minister for Government Service Delivery"
"Senator the Hon. Mark Arbib",09/06/2009,14/09/2010,"Minister for Employment Participation"
"Senator the Hon. Mark Arbib",14/09/2010,14/12/2011,"Minister for Indigenous Employment and Economic Development"
"Senator the Hon. Mark Arbib",14/09/2010,05/03/2012,"Minister for Sport"
"The Hon Alan Cadman",11/07/1997,21/10/1998,"Parliamentary Secretary to the Minister for Workplace Relations and Small Business"
"The Hon Alan Griffin MP",03/12/2007,14/09/2010,"Minister for Veterans' Affairs"
"The Hon Alex Somlyay",09/10/1997,21/10/1998,"Minister for Regional Development, Territories and Local Government"
"The Hon Alexander Downer MP",13/10/1996,03/12/2007,"Minister for Foreign Affairs"
"The Hon Amanda Rishworth MP",25/03/2013,18/09/2013,"Parliamentary Secretary for Disabilities and Carers"
"The Hon Amanda Rishworth MP",25/03/2013,18/09/2013,"Parliamentary Secretary for Sustainability and Urban Water"
"The Hon Andrew Leigh MP",25/03/2013,18/09/2013,"Parliamentary Secretary to the Prime Minister"
"The Hon Andrew Robb",27/01/2006,30/01/2007,"Parliamentary Secretary to the Minister for Immigration and Multicultural Affairs"
"The Hon Andrew Robb",30/01/2007,03/12/2007,"Minister for Vocational and Further Education"
