person count,title,last name,first name,middle name,nick name,post title
,,Drummond,Peter,Hertford,,
,,Dubois,Stephen,Cairfield,,
,,Duffy,Michael,John,,
,,Duncan,Peter,,,
,,Dunn,Patricia,Irene (Irina),,
,,Durack,Peter,Drew,,
,,Dutton,Peter,Craig,,
,,Easson,Mary,Louise,,
,,Edwards,Graham,John,,
,,Edwards,Harold,Raymond,,
,,Edwards,Ronald,Frederick,,
,,Eggleston,Alan,,,
,,Ellicott,Robert,James,,
,,Elliot,Justine,,,
,,Elliott,Robert,Paul,,
,,Ellis,Annette,Louise,,
,,Ellis,Katherine,Margaret,Kate,
,,Ellison,Christopher,Martin,,
,,Elson,Kay,Selma,,
,,Elstob,Ronald,Charles,,
,,Emerson,Craig,Anthony,,
,,Entsch,Warren,George,,
,,Evans,Christopher,Vaughan,,
,,Evans,Gareth,John,,
,,Evans,John,Gordon,,
,,Evans,Martyn,John,,
,,Evans,Richard,David Conroy,,
,,Everingham,Paul,Anthony Edward,,
,,Fahey,John,Joseph,,
,,Falconer,Peter,David,,
,,Farmer,Patrick,Francis,,
,,Fatin,Wendy,Frances,,
,,Faulkner,John,Philip,,
,,Fawcett,David,Julian,,
,,Ferguson,Alan,Baird,,
,,Ferguson,Laurie,Donald Thomas,,
,,Ferguson,Martin,John,,
,,Ferguson,Michael,Darrel,,
,,Ferris,Jeannie,Margaret,,
,,Fielding,Steve,,,
,,Fierravanti-Wells,Concetta,Anna,,
,,Fife,Wallace,Clyde,,
,,Fifield,Mitchell,Peter,,
,,Filing,Paul,Anthony,,
,,Fischer,Timothy,Andrew,,
,,Fisher,Mary,Jo,,
,,Fisher,Peter,Stanley,,
,,Fitzgibbon,Eric,John,,
,,Fitzgibbon,Joel,Andrew,,
,,Fitzpatrick,John,,,
,,Ford,Frank,Allen,,
,,Foreman,Dominic,John,,
,,Forrest,John,Alexander,,
,,Forshaw,Michael,George,,
,,Free,Ross,Vincent,,
,,Fry,Kenneth,Lionel,,
,,Gallus,Christine,Ann,,
,,Gambaro,Teresa,,,
,,Garland,Ransley,Victor,,
,,Garrett,Peter,Robert,,
,,Gash,Joanna,,,
,,Gayler,John,,,
,,Gear,George,,,
,,Georganas,Steven,,,
,,George,Jennie,,,
,,Georges,George,,,
,,Georgiou,Petro,,,
,,Gerick,Jane,Frances,,
,,Gibbons,Stephen,William,,
,,Gibbs,Brenda,,,
,,Gibson,Brian,Francis,,
,,Gibson,Garrie,David,,
,,Gietzelt,Arthur,Thomas,,
,,Giles,Geoffrey,O'halloran,,
,,Giles,Patricia,Jessie,,
,,Gillard,Julia,Eileen,,
,,Gillard,Reginald,,,
,,Goodluck,Bruce,John,,
,,Gorman,Russell,Neville Joseph,,
,,Grace,Edward,Laurence,,
,,Grace,Elizabeth,Jane,,
,,Graham,Bruce,William,,
,,Gray,Gary,,,
,,Greig,Brian,Andrew,,
,,Grierson,Sharon,Joy,,
,,Griffin,Alan,Peter,,
,,Griffiths,Alan,Gordon,,
,,Grimes,Donald,James,,
,,Groom,Raymond,John,,
,,Guilfoyle,Margaret,Georgina Constance,,
,,Haase,Barry,Wayne,,
,,Haines,Janine,,,
,,Hale,Damian,Francis,,
,,Hall,Jill,Griffiths,,
,,Hall,Raymond,Steele,,
,,Halverson,Robert,George,,
,,Hamer,David,John,,
,,Hand,Gerard,Leslie,,
,,Hanson,Pauline,Lee,,
,,Hardgrave,Gary,Douglas,,
,,Harradine,Brian,,,
,,Harris,Graham,Mcdonald,,
,,Harris,Leonard,William,,
,,Hartsuyker,Luke,,,
,,Harvey,Elizabeth,Robyn,,
,,Haslem,John,Whitton,,
,,Hatton,Michael,John,,
,,Haviland,Christopher,Douglas,,
,,Hawke,Alexander,George,,
,,Hawke,Robert,James Lee,,
,,Hawker,David,Peter Maxwell,,
,,Hayden,William,George,,
,,Hayes,Christopher,Patrick,,
,,Hearn,Jean,Margaret,,
,,Heffernan,William,Daniel,,
,,Hendrickson,Albion,,,
,,Henry,Stuart,Irwin,,
,,Henzell,Marjorie,Madeline,,
,,Herron,John,Joseph,,
,,Hewson,John,Robert,,
,,Hicks,Noel,Jeffrey,,
,,Hill,Heather,Elaine,,
,,Hill,Robert,Murray,,
