member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
175,,,Fatin,Wendy,Frances,,,representatives,Brand,WA,1.12.1984,,29.1.1996,retired,ALP
176,,,Fatin,Wendy,Frances,,,representatives,Canning,WA,5.3.1983,,1.12.1984,elected_elsewhere,ALP
77,,,Faulkner,John,Philip,,,senate,,NSW,4.4.1989,section_15,,still_in_office,ALP
177,,,Fawcett,David,Julian,,,representatives,Wakefield,SA,9.10.2004,,24.11.2007,defeated,LIB
78,,,Ferguson,Alan,Baird,,,senate,,SA,26.5.1992,section_15,,still_in_office,LIB
178,,,Ferguson,Laurie,Donald Thomas,,,representatives,Reid,NSW,24.3.1990,,,still_in_office,ALP
179,,,Ferguson,Martin,John,,,representatives,Batman,Vic.,2.3.1996,,,still_in_office,ALP
180,,,Ferguson,Michael,Darrel,,,representatives,Bass,Tas.,9.10.2004,,24.11.2007,defeated,LIB
79,,,Ferris,Jeannie,Margaret,,,senate,,SA,1.7.1996 ,,12.7.1996 ,resigned; ,LIB
80,,,Ferris,Jeannie,Margaret,,,senate,,SA,24.7.1996 ,section_15,2.4.2007 ,died,LIB
81,,,Fielding,Steve,,,,senate,,Vic.,1.7.2005 ,,,still_in_office,FFP
82,,,Fierravanti-Wells,Concetta,Anna,,,senate,,NSW,5.5.2005 ,section_15,,still_in_office,LIB
181,,,Fife,Wallace,Clyde,,,representatives,Farrer,NSW,13.12.1975,,1.12.1984,elected_elsewhere,LIB
182,,,Fife,Wallace,Clyde,,,representatives,Hume,NSW,1.12.1984,,8.2.1993,retired,LIB
83,,,Fifield,Mitchell,Peter,,,senate,,Vic.,31.3.2004 ,section_15,,still_in_office,LIB
183,,,Filing,Paul,Anthony,,,representatives,Moore,WA,24.3.1990,,3.10.1998,defeated,IND
184,,,Fischer,Timothy,Andrew,,,representatives,Farrer,NSW,1.12.1984,,8.10.2001,retired,NPA
84,,,Fisher,Mary,Jo,,,senate,,SA,6.6.2007,section_15,,still_in_office,LIB
185,,,Fisher,Peter,Stanley,,,representatives,Mallee,Vic.,2.12.1972,,8.2.1993,retired,NPA
186,,,Fitzgibbon,Eric,John,,,representatives,Hunter,NSW,1.12.1984,,29.1.1996,retired,ALP
187,,,Fitzgibbon,Joel,Andrew,,,representatives,Hunter,NSW,2.3.1996,,,still_in_office,ALP
188,,,Fitzpatrick,John,,,,representatives,Darling,NSW,25.10.1969,,10.12.1977,elected_elsewhere,ALP
189,,,Fitzpatrick,John,,,,representatives,Riverina,NSW,10.12.1977,,19.9.1980,retired,ALP
190,,,Ford,Frank,Allen,,,representatives,Dunkley,Vic.,24.3.1990,,13.3.1993,defeated,LIB
85,,,Foreman,Dominic,John,,,senate,,SA,1.7.1981 ,,15.9.1997 ,resigned,ALP
191,,,Forrest,John,Alexander,,,representatives,Mallee,Vic.,13.3.1993,, ,still_in_office,NP
86,,,Forshaw,Michael,George,,,senate,,NSW,10.5.1994,section_15,,still_in_office,ALP
192,,,Free,Ross,Vincent,,,representatives,Lindsay,NSW,1.12.1984,,2.3.1996,defeated,ALP
193,,,Free,Ross,Vincent,,,representatives,Macquarie,NSW,18.10.1980,,1.12.1984,elected_elsewhere,ALP
194,,,Fry,Kenneth,Lionel,,,representatives,Fraser,ACT,18.5.1974,,26.10.1984,retired,ALP
195,,,Gallus,Christine,Ann,,,representatives,Hawker,SA,24.3.1990,,13.3.1993,elected_elsewhere,LIB
196,,,Gallus,Christine,Ann,,,representatives,Hindmarsh,SA,13.3.1993,,31.8.2004,retired,LIB
197,,,Gambaro,Teresa,,,,representatives,Petrie,Qld,2.3.1996,,24.11.2007,defeated,LIB
198,,,Garland,Ransley,Victor,,,representatives,Curtin,WA,19.4.1969,by_election,22.1.1981,resigned,LIB
199,,,Garrett,Peter,Robert,,,representatives,Kingsford Smith,NSW,9.10.2004,, ,still_in_office,ALP
200,,,Gash,Joanna,,,,representatives,Gilmore,NSW,2.3.1996,, ,still_in_office,LIB
201,,,Gayler,John,,,,representatives,Leichhardt,Qld,5.3.1983,,8.2.1993,retired,ALP
202,,,Gear,George,,,,representatives,Canning,WA,1.12.1984,,2.3.1996,defeated,ALP
203,,,Gear,George,,,,representatives,Tangney,WA,5.3.1983,,1.12.1984,elected_elsewhere,ALP
204,,,Georganas,Steven,,,,representatives,Hindmarsh,SA,9.10.2004,, ,still_in_office,ALP
205,,,George,Jennie,,,,representatives,Throsby,NSW,10.11.2001,, ,still_in_office,ALP
87,,,Georges,George,,,,senate,,Qld,1.7.1968 ,,5.6.1987 ,defeated,IND
206,,,Georgiou,Petro,,,,representatives,Kooyong,Vic.,19.11.1994,by_election, ,still_in_office,LIB
207,,,Gerick,Jane,Frances,,,representatives,Canning,WA,3.10.1998,,10.11.2001,defeated,ALP
208,,,Gibbons,Stephen,William,,,representatives,Bendigo,Vic.,3.10.1998,, ,still_in_office,ALP
88,,,Gibbs,Brenda,,,,senate,,Qld,1.7.1996 ,,30.6.2002 ,defeated,ALP
89,,,Gibson,Brian,Francis,,,senate,,Tas.,1.7.1993 ,,22.2.2002 ,resigned,LIB
209,,,Gibson,Garrie,David,,,representatives,Moreton,Qld,24.3.1990,,2.3.1996,defeated,ALP
90,,,Gietzelt,Arthur,Thomas,,,senate,,NSW,1.7.1971 ,,27.2.1989 ,resigned,ALP
210,,,Giles,Geoffrey,O'halloran,,,representatives,Angas,SA,20.6.1964,by_election,10.12.1977,elected_elsewhere,LIB
211,,,Giles,Geoffrey,O'halloran,,,representatives,Wakefield,SA,10.12.1977,,4.2.1983,retired,LIB
91,,,Giles,Patricia,Jessie,,,senate,,WA,1.7.1981 ,,30.6.1993 ,retired,ALP
212,,,Gillard,Julia,Eileen,,,representatives,Lalor,Vic.,3.10.1998,, ,still_in_office,ALP
213,,,Gillard,Reginald,,,,representatives,Macquarie,NSW,13.12.1975,,18.10.1980,defeated,LIB
214,,,Goodluck,Bruce,John,,,representatives,Franklin,Tas.,13.12.1975,,8.2.1993,retired,LIB
215,,,Gorman,Russell,Neville Joseph,,,representatives,Chifley,NSW,5.3.1983,,1.12.1984,elected_elsewhere,ALP
216,,,Gorman,Russell,Neville Joseph,,,representatives,Greenway,NSW,1.12.1984,,29.1.1996,retired,ALP
217,,,Grace,Edward,Laurence,,,representatives,Fowler,NSW,1.12.1984,,31.8.1998,retired,ALP
218,,,Grace,Elizabeth,Jane,,,representatives,Lilley,Qld,2.3.1996,,3.10.1998,defeated,LIB
219,,,Graham,Bruce,William,,,representatives,North Sydney,NSW,26.11.1966,,19.9.1980,retired,LIB
220,,,Graham,Bruce,William,,,representatives,St George,NSW,10.12.1949,,29.5.1954,defeated,LIB
221,,,Graham,Bruce,William,,,representatives,St George,NSW,10.12.1955,,22.11.1958,defeated,LIB
222,,,Gray,Gary,,,,representatives,Brand,WA,24.11.2007,,,still_in_office,ALP
92,,,Greig,Brian,Andrew,,,senate,,WA,1.7.1999,,30.5.2005 ,defeated,AD
223,,,Grierson,Sharon,Joy,,,representatives,Newcastle,NSW,10.11.2001,, ,still_in_office,ALP
224,,,Griffin,Alan,Peter,,,representatives,Bruce,Vic.,2.3.1996,, ,still_in_office,ALP
225,,,Griffin,Alan,Peter,,,representatives,Corinella,Vic.,13.3.1993,,2.3.1996,elected_elsewhere,ALP
226,,,Griffiths,Alan,Gordon,,,representatives,Maribyrnong,Vic.,5.3.1983,,29.1.1996,retired,ALP
93,,,Grimes,Donald,James,,,senate,,Tas.,18.5.1974 ,,2.4.1987 ,resigned,ALP
227,,,Groom,Raymond,John,,,representatives,Braddon,Tas.,13.12.1975,,26.10.1984,retired,LIB
94,,,Guilfoyle,Margaret,Georgina Constance,,,senate,,Vic.,1.7.1971 ,,5.6.1987 ,retired,LIB
228,,,Haase,Barry,Wayne,,,representatives,Kalgoorlie,WA,3.10.1998,, ,still_in_office,LIB
95,,,Haines,Janine,,,,senate,,SA,1.7.1981 ,,1.3.1990 ,resigned,AD
96,,,Haines,Janine,,,,senate,,SA,14.12.1977 ,section_15,30.6.1978 ,term_expired,AD
229,,,Hale,Damian,Francis,,,representatives,Solomon,NT,24.11.2007,,,still_in_office,ALP
230,,,Hall,Jill,Griffiths,,,representatives,Shortland,NSW,3.10.1998,, ,still_in_office,ALP
231,,,Hall,Raymond,Steele,,,representatives,Boothby,SA,21.2.1981,by_election,29.1.1996,retired,LIB
232,,,Halverson,Robert,George,,,representatives,Casey,Vic.,1.12.1984,,31.8.1998,retired,LIB
97,,,Hamer,David,John,,,senate,,Vic.,1.7.1978 ,,30.6.1990 ,retired,LIB
233,,,Hand,Gerard,Leslie,,,representatives,Melbourne,Vic.,5.3.1983,,8.2.1993,retired,ALP
234,,,Hanson,Pauline,Lee,,,representatives,Oxley,Qld,2.3.1996,,3.10.1998,defeated,PHON
235,,,Hardgrave,Gary,Douglas,,,representatives,Moreton,Qld,2.3.1996,,24.11.2007,defeated,LIB
98,,,Harradine,Brian,,,,senate,,Tas.,13.12.1975 ,,30.6.2005 ,retired,IND
236,,,Harris,Graham,Mcdonald,,,representatives,Chisholm,Vic.,18.10.1980,,5.3.1983,defeated,LIB
99,,,Harris,Leonard,William,,,senate,,Qld,2.7.1999,,30.6.2005 ,defeated,PHON
237,,,Hartsuyker,Luke,,,,representatives,Cowper,NSW,10.11.2001,, ,still_in_office,NP
238,,,Harvey,Elizabeth,Robyn,,,representatives,Hawker,SA,11.7.1987,,24.3.1990,defeated,ALP
239,,,Haslem,John,Whitton,,,representatives,Canberra,ACT,13.12.1975,,18.10.1980,defeated,LIB
240,,,Hatton,Michael,John,,,representatives,Blaxland,NSW,15.6.1996,by_election,17.10.2007,retired,ALP
241,,,Haviland,Christopher,Douglas,,,representatives,Macarthur,NSW,13.3.1993,,29.1.1996,retired,ALP
242,,,Hawke,Alexander,George,,,representatives,Mitchell,NSW,24.11.2007,,,still_in_office,LIB
243,,,Hawke,Robert,James Lee,,,representatives,Wills,Vic.,18.10.1980,,20.2.1992,resigned,ALP
244,,,Hawker,David,Peter Maxwell,,,representatives,Wannon,Vic.,7.5.1983,by_election,16.11.2004,changed_party,LIB
245,,,Hawker,David,Peter Maxwell,,,representatives,Wannon,Vic.,16.11.2004,changed_party,17.10.2007,changed_party,SPK
246,,,Hawker,David,Peter Maxwell,,,representatives,Wannon,Vic.,17.10.2007,changed_party,,still_in_office,LIB
247,,,Hayden,William,George,,,representatives,Oxley,Qld,9.12.1961,,17.8.1988,resigned,ALP
248,,,Hayes,Christopher,Patrick,,,representatives,Werriwa,NSW,19.3.2005,by_election, ,still_in_office,ALP
100,,,Hearn,Jean,Margaret,,,senate,,Tas.,15.10.1980 ,section_15,30.6.1985 ,retired,ALP
101,,,Heffernan,William,Daniel,,,senate,,NSW,18.9.1996,section_15,,still_in_office,LIB
102,,,Hendrickson,Albion,,,,senate,,Vic.,1.7.1947 ,,30.6.1971 ,retired,ALP
249,,,Henry,Stuart,Irwin,,,representatives,Hasluck,WA,9.10.2004,,24.11.2007,defeated,LIB
250,,,Henzell,Marjorie,Madeline,,,representatives,Capricornia,Qld,13.3.1993,,2.3.1996,defeated,ALP
103,,,Herron,John,Joseph,,,senate,,Qld,1.7.1990 ,,5.9.2002 ,resigned,LIB
251,,,Hewson,John,Robert,,,representatives,Wentworth,NSW,11.7.1987,,28.2.1995,resigned,LIB
252,,,Hicks,Noel,Jeffrey,,,representatives,Riverina,NSW,13.3.1993,,31.8.1998,retired,NPA
253,,,Hicks,Noel,Jeffrey,,,representatives,Riverina,NSW,18.10.1980,,1.12.1984,elected_elsewhere,NPA
254,,,Hicks,Noel,Jeffrey,,,representatives,Riverina-Darling,NSW,1.12.1984,,13.3.1993,elected_elsewhere,NPA
104,,,Hill,Heather,Elaine,,,senate,,Qld,18.11.1998,,23.9.1999 ,disqualified,PHON
105,,,Hill,Robert,Murray,,,senate,,SA,1.7.1981 ,,15.3.2006 ,resigned,LIB
255,,,Hoare,Kelly,Joy,,,representatives,Charlton,NSW,3.10.1998,,17.10.2007,retired,ALP
256,,,Hockey,Joseph,Benedict,,,representatives,North Sydney,NSW,2.3.1996,, ,still_in_office,LIB
257,,,Hodges,John,Charles,,,representatives,Petrie,Qld,18.5.1974,,5.3.1983,defeated,LIB
258,,,Hodges,John,Charles,,,representatives,Petrie,Qld,1.12.1984,,11.7.1987,defeated,LIB
259,,,Hodgman,Michael,William,,,representatives,Denison,Tas.,13.12.1975,,11.7.1987,defeated,LIB
106,,,Hogg,John,Joseph,,,senate,,Qld,1.7.1996 ,,,still_in_office,ALP
260,,,Holding,Allan,Clyde,,,representatives,Melbourne Ports,Vic.,10.12.1977,,31.8.1998,retired,ALP
261,,,Hollis,Colin,,,,representatives,Macarthur,NSW,5.3.1983,,1.12.1984,elected_elsewhere,ALP
262,,,Hollis,Colin,,,,representatives,Throsby,NSW,1.12.1984,,8.10.2001,retired,ALP
263,,,Horne,Robert,Hodges,,,representatives,Paterson,NSW,13.3.1993,,2.3.1996,defeated,ALP
264,,,Horne,Robert,Hodges,,,representatives,Paterson,NSW,3.10.1998,,10.11.2001,defeated,ALP
265,,,Howard,John,Winston,,,representatives,Bennelong,NSW,18.5.1974,,24.11.2007,defeated,LIB
266,,,Howe,Brian,Leslie,,,representatives,Batman,Vic.,10.12.1977,,29.1.1996,retired,ALP
267,,,Hull,Kay,Elizabeth,,,representatives,Riverina,NSW,3.10.1998,, ,still_in_office,NPA
268,,,Hulls,Rob,Justin,,,representatives,Kennedy,Qld,24.3.1990,,13.3.1993,defeated,ALP
269,,,Humphreys,Benjamin,Charles,,,representatives,Griffith,Qld,10.12.1977,,29.1.1996,retired,ALP
107,,,Humphries,Gary,John Joseph ,,,senate,,ACT,18.2.2003 ,section_15,,still_in_office,LIB
270,,,Hunt,Gregory,Andrew,,,representatives,Flinders,Vic.,10.11.2001,, ,still_in_office,LIB
271,,,Hunt,Ralph,James Dunnet,,,representatives,Gwydir,NSW,7.6.1969,by_election,24.2.1989,resigned,NPA
272,,,Hurford,Christopher,John,,,representatives,Adelaide,SA,25.10.1969,,31.12.1987,resigned,ALP
108,,,Hurley,Annette,Kay,,,senate,,SA,1.7.2005 ,,,still_in_office,ALP
109,,,Hutchins,Stephen,Patrick,,,senate,,NSW,14.10.1998 ,section_15,,still_in_office,ALP
273,,,Hyde,John,Martin,,,representatives,Moore,WA,18.5.1974,,5.3.1983,defeated,LIB
274,,,Innes,Urquhart,Edward,,,representatives,Melbourne,Vic.,2.12.1972,,4.2.1983,retired,ALP
275,,,Irons,Stephen,James,,,representatives,Swan,WA,24.11.2007,,,still_in_office,LIB
276,,,Irwin,Julia,Claire,,,representatives,Fowler,NSW,3.10.1998,, ,still_in_office,ALP
277,,,Jackson,Sharryn,Maree,,,representatives,Hasluck,WA,10.11.2001,,9.10.2004,defeated,ALP
278,,,Jackson,Sharryn,Maree,,,representatives,Hasluck,WA,24.11.2007,,,still_in_office,ALP
279,,,Jacobi,Ralph,,,,representatives,Hawker,SA,25.10.1969,,5.6.1987,retired,ALP
280,,,Jakobsen,Carolyn,Anne,,,representatives,Cowan,WA,1.12.1984,,13.3.1993,defeated,ALP
281,,,James,Albert,William,,,representatives,Hunter,NSW,9.4.1960,by_election,19.9.1980,retired,ALP
282,,,Jarman,Alan,William,,,representatives,Deakin,Vic.,26.11.1966,,5.3.1983,defeated,LIB
283,,,Jeanes,Susan,Barbara,,,representatives,Kingston,SA,2.3.1996,,3.10.1998,defeated,LIB
284,,,Jenkins,Henry,Alfred,,,representatives,Scullin,Vic.,25.10.1969,,20.12.1985,resigned,ALP
285,,,Jenkins,Harry,Alfred,,,representatives,Scullin,Vic.,8.2.1986,by_election,4.5.1993,changed_party,ALP
286,,,Jenkins,Harry,Alfred,,,representatives,Scullin,Vic.,4.5.1993,changed_party,29.1.1996,changed_party,CWM
287,,,Jenkins,Harry,Alfred,,,representatives,Scullin,Vic.,29.1.1996,changed_party,11.2.2008,changed_party,ALP
288,,,Jenkins,Harry,Alfred,,,representatives,Scullin,Vic.,12.2.2008,changed_party, ,still_in_office,SPK
110,,,Jenkins,Jean,Alice,,,senate,,WA,11.7.1987 ,,30.6.1990 ,defeated,AD
289,,,Jensen,Dennis,Geoffrey,,,representatives,Tangney,WA,9.10.2004,, ,still_in_office,LIB
111,,,Jessop,Donald,Scott,,,senate,,SA,1.7.1971 ,,5.6.1987 ,defeated,IND
290,,,Johns,Gary,Thomas,,,representatives,Petrie,Qld,11.7.1987,,2.3.1996,defeated,ALP
291,,,Johnson,Leonard,Keith,,,representatives,Burke,Vic.,25.10.1969,,19.9.1980,retired,ALP
292,,,Johnson,Leslie,Royston,,,representatives,Hughes,NSW,10.12.1955,,26.11.1966,defeated,ALP
293,,,Johnson,Leslie,Royston,,,representatives,Hughes,NSW,25.10.1969,,19.12.1983,resigned,ALP
294,,,Johnson,Michael,Andrew,,,representatives,Ryan,Qld,10.11.2001,, ,still_in_office,LIB
295,,,Johnson,Peter,Francis,,,representatives,Brisbane,Qld,13.12.1975,,18.10.1980,defeated,LIB
112,,,Johnston,David,Albert Lloyd,,,senate,,WA,1.7.2002 ,,,still_in_office,LIB
296,,,Johnston,James,Roger,,,representatives,Hotham,Vic.,10.12.1977,,18.10.1980,defeated,LIB
297,,,Johnston,Ricky,,,,representatives,Canning,WA,2.3.1996,,3.10.1998,defeated,LIB
298,,,Jones,Barry,Owen,,,representatives,Lalor,Vic.,10.12.1977,,31.8.1998,retired,ALP
299,,,Jones,Charles,Keith,,,representatives,Newcastle,NSW,22.11.1958,,4.2.1983,retired,ALP
113,,,Jones,Gerry,Norman,,,senate,,Qld,1.7.1981 ,,30.6.1996 ,retired,ALP
114,,,Joyce,Barnaby,Thomas Gerard,,,senate,,Qld,1.7.2005,,,still_in_office,NP
300,,,Jull,David,Francis,,,representatives,Bowman,Qld,13.12.1975,,5.3.1983,defeated,LIB
301,,,Jull,David,Francis,,,representatives,Fadden,Qld,1.12.1984,,17.10.2007,retired,LIB
302,,,Katter,Robert,Carl,,,representatives,Kennedy,Qld,13.3.1993,, ,still_in_office,IND
303,,,Katter,Robert,Cummin,,,representatives,Kennedy,Qld,26.11.1966,,19.2.1990,retired,NPA
304,,,Keating,Paul,John,,,representatives,Blaxland,NSW,25.10.1969,,23.4.1996,resigned,ALP
115,,,Keeffe,James,Bernard,,,senate,,Qld,1.7.1965 ,,4.2.1983 ,retired,ALP
305,,,Keenan,Michael,Fayat,,,representatives,Stirling,WA,9.10.2004,, ,still_in_office,LIB
306,,,Kelly,De-anne,Margaret,,,representatives,Dawson,Qld,2.3.1996,,24.11.2007,defeated,NP
307,,,Kelly,Jacqueline,Marie,Jackie,,representatives,Lindsay,NSW,19.10.1996,by_election,17.10.2007,retired,LIB
308,,,Kelly,Jacqueline,Marie,Jackie,,representatives,Lindsay,NSW,2.3.1996,,11.9.1996,declared_void,LIB
309,,,Kelly,Michael,Joseph,,,representatives,Eden-Monaro,NSW,24.11.2007,,,still_in_office,ALP
310,,,Kelly,Roslyn,Joan,,,representatives,Canberra,ACT,18.10.1980,,30.1.1995,resigned,ALP
116,,,Kemp,Charles,Roderick,,,senate,,Vic.,1.7.1990,,,still_in_office,LIB
311,,,Kemp,David,Alistair,,,representatives,Goldstein,Vic.,24.3.1990,,31.8.2004,retired,LIB
313,,,Kent,Lewis,,,,representatives,Hotham,Vic.,18.10.1980,,24.3.1990,defeated,ALP
312,,,Keogh,Leonard,Joseph,,,representatives,Bowman,Qld,5.3.1983,,5.6.1987,retired,ALP
314,,,Kerin,John,Charles,,,representatives,Werriwa,NSW,23.9.1978,by_election,22.12.1993,resigned,ALP
315,,,Kernot,Cheryl,,,,representatives,Dickson,Qld,3.10.1998,,10.11.2001,defeated,ALP
117,,,Kernot,Cheryl,,,,senate,,Qld,1.7.1990 ,,15.10.1997 ,resigned,AD
316,,,Kerr,Duncan,James Colquhoun,,,representatives,Denison,Tas.,11.7.1987,, ,still_in_office,ALP
118,,,Kilgariff,Bernard,Francis,,,senate,,NT,13.12.1975 ,,5.6.1987 ,retired,LIB
317,,,Killen,Denis,James (later Sir James),,,representatives,Moreton,Qld,10.12.1955,,15.8.1983,resigned,LIB
318,,,King,Catherine,Fiona,,,representatives,Ballarat,Vic.,10.11.2001,, ,still_in_office,ALP
319,,,King,Peter,Edward,,,representatives,Wentworth,NSW,10.11.2001,,9.10.2004,defeated,IND
119,,,Kirk,Linda,Jean,,,senate,,SA,1.7.2002 ,,,still_in_office,ALP
320,,,Klugman,Richard,Emanuel,,,representatives,Prospect,NSW,25.10.1969,,19.2.1990,retired,ALP
120,,,Knight,John,William,,,senate,,ACT,13.12.1975 ,,4.3.1981 ,died,LIB
321,,,Knott,Peter,John,,,representatives,Gilmore,NSW,13.3.1993,,2.3.1996,defeated,ALP
121,,,Knowles,Susan,Christine,,,senate,,WA,1.12.1984 ,,30.6.2005 ,retired,LIB
122,,,Lajovic,Milivoj,Emil,,,senate,,NSW,13.12.1975 ,,30.6.1985 ,retired,LIB
322,,,Lamb,Antony,Hamilton,,,representatives,La Trobe,Vic.,2.12.1972,,13.12.1975,defeated,ALP
323,,,Lamb,Antony,Hamilton,,,representatives,Streeton,Vic.,1.12.1984,,24.3.1990,defeated,ALP
324,,,Laming,Andrew,Charles,,,representatives,Bowman,Qld,9.10.2004,, ,still_in_office,LIB
325,,,Langmore,John,Vance,,,representatives,Fraser,ACT,1.12.1984,,6.12.1996,resigned,ALP
326,,,Latham,Mark,William,,,representatives,Werriwa,NSW,29.1.1994,by_election,21.1.2005,resigned,ALP
123,,,Laucke,Condor,Louis,,,senate,,SA,2.11.1967 ,section_15,30.6.1981 ,retired,LIB
327,,,Lavarch,Michael,Hugh,,,representatives,Dickson,Qld,17.4.1993,,2.3.1996,defeated,ALP
328,,,Lavarch,Michael,Hugh,,,representatives,Fisher,Qld,11.7.1987,,13.3.1993,elected_elsewhere,ALP
329,,,Lawler,Anthony,John,,,representatives,Parkes,NSW,3.10.1998,,8.10.2001,retired,NPA
330,,,Lawrence,Carmen,Mary,,,representatives,Fremantle,WA,12.3.1994,by_election,17.10.2007,retired,ALP
331,,,Lee,Michael,John,,,representatives,Dobell,NSW,1.12.1984,,10.11.2001,defeated,ALP
124,,,Lees,Meg,Heather,,,senate,,SA,4.4.1990 ,section_15,30.6.2005 ,defeated,IND
125,,,Lewis,Austin,William Russell,,,senate,,Vic.,17.12.1976 ,section_15,30.6.1993 ,retired,LIB
332,,,Ley,Sussan,Penelope,,,representatives,Farrer,NSW,10.11.2001,, ,still_in_office,LIB
333,,,Lieberman,Louis,Stuart,,,representatives,Indi,Vic.,13.3.1993,,8.10.2001,retired,LIB
126,,,Lightfoot,Philip,Ross,,,senate,,WA,19.5.1997,section_15,,still_in_office,LIB
334,,,Lindsay,Eamon,John,,,representatives,Herbert,Qld,5.3.1983,,2.3.1996,defeated,ALP
335,,,Lindsay,Peter,John,,,representatives,Herbert,Qld,2.3.1996,, ,still_in_office,LIB
336,,,Livermore,Kirsten,Fiona,,,representatives,Capricornia,Qld,3.10.1998,, ,still_in_office,ALP
337,,,Lloyd,Bruce,,,,representatives,Murray,Vic.,20.3.1971,by_election,29.1.1996,retired,NPA
338,,,Lloyd,James,Eric,,,representatives,Robertson,NSW,2.3.1996,,24.11.2007,defeated,LIB
127,,,Loosley,Stephen,,,,senate,,NSW,1.7.1990 ,,19.5.1995 ,resigned,ALP
339,,,Lucock,Philip,Ernest,,,representatives,Lyne,NSW,22.3.1952,by_election,19.9.1980,retired,NCP
128,,,Ludwig,Joseph,William,,,senate,,Qld,1.7.1999,,,still_in_office,ALP
129,,,Lundy,Kate,Alexandra,,,senate,,ACT,2.3.1996 ,,,still_in_office,ALP
340,,,Lusher,Stephen,Augustus,,,representatives,Hume,NSW,18.5.1974,,1.12.1984,defeated,NPA
341,,,Lynch,Phillip,Reginald (later Sir Phillip),,,representatives,Flinders,Vic.,26.11.1966,,22.10.1982,resigned,LIB
130,,,Macdonald,Ian,Douglas,,,senate,,Qld,1.7.1990,,,still_in_office,LIB
131,,,Macdonald,John,Alexander Lindsay,,,senate,,NSW,1.7.1993 ,,30.6.1999 ,defeated,NP
132,,,Macdonald,John,Alexander Lindsay,,,senate,,NSW,4.5.2000 ,section_15,,still_in_office,NP
342,,,Macfarlane,Ian,Elgin,,,representatives,Groom,Qld,3.10.1998,, ,still_in_office,LIB
133,,,MacGibbon,David,John,,,senate,,Qld,1.7.1978 ,,30.6.1999 ,defeated,LIB
343,,,Mack,Edward,Carrington,,,representatives,North Sydney,NSW,24.3.1990,,29.1.1996,retired,IND
134,,,Mackay,Susan,Mary,,,senate,,Tas.,8.3.1996 ,section_15,29.7.2005 ,resigned,ALP
344,,,Mackellar,Michael,John Randal,,,representatives,Warringah,NSW,25.10.1969,,18.2.1994,resigned,LIB
345,,,Mackenzie,Alexander,John,,,representatives,Calare,NSW,13.12.1975,,5.3.1983,defeated,NPA
346,,,Macklin,Jennifer,Louise,,,representatives,Jagajaga,Vic.,2.3.1996,, ,still_in_office,ALP
135,,,Macklin,Michael,John,,,senate,,Qld,1.7.1981 ,,30.6.1990 ,retired,AD
347,,,Macphee,Ian,Malcolm,,,representatives,Balaclava,Vic.,18.5.1974,,1.12.1984,elected_elsewhere,LIB
348,,,Macphee,Ian,Malcolm,,,representatives,Goldstein,Vic.,1.12.1984,,19.2.1990,retired,LIB
136,,,Maguire,Graham,Ross,,,senate,,SA,5.3.1983 ,,30.6.1993 ,defeated,ALP
349,,,Maher,Michael,John,,,representatives,Lowe,NSW,13.3.1982,by_election,11.7.1987,defeated,ALP
350,,,Marek,Paul,,,,representatives,Capricornia,Qld,2.3.1996,,3.10.1998,defeated,NPA
137,,,Margetts,Diane,Elizabeth,,,senate,,WA,1.7.1993 ,,30.6.1999 ,defeated,GWA
351,,,Marino,Nola,Bethwyn,,,representatives,Forrest,WA,24.11.2007,,,still_in_office,LIB
352,,,Markus,Louise,Elizabeth,,,representatives,Greenway,NSW,9.10.2004,, ,still_in_office,LIB
353,,,Marles,Richard,Donald,,,representatives,Corio,Vic,24.11.2007,,,still_in_office,ALP
138,,,Marshall,Gavin,Mark,,,senate,,Vic.,1.7.2002 ,,,still_in_office,ALP
354,,,Martin,Stephen,Paul,,,representatives,Cunningham,NSW,13.3.1993,,16.8.2002,resigned,ALP
355,,,Martin,Stephen,Paul,,,representatives,Macarthur,NSW,1.12.1984,,13.3.1993,elected_elsewhere,ALP
356,,,Martin,Vincent,Joseph,,,representatives,Banks,NSW,25.10.1969,,19.9.1980,retired,ALP
357,,,Martyr,John,Raymond,,,representatives,Swan,WA,13.12.1975,,18.10.1980,defeated,LIB
139,,,Martyr,John,Raymond,,,senate,,WA,11.3.1981 ,section_15,4.2.1983 ,defeated,LIB
140,,,Mason,Brett,John,,,senate,,Qld,1.7.1999 ,,,still_in_office,LIB
141,,,Mason,Colin,Victor James,,,senate,,NSW,1.7.1978 ,,5.6.1987 ,retired,AD
142,,,Maunsell,Charles,Ronald,,,senate,,Qld,1.7.1968 ,,30.6.1981 ,defeated,NCP
358,,,May,Margaret,Ann,,,representatives,McPherson,Qld,3.10.1998,, ,still_in_office,LIB
359,,,Mayer,Helen,,,,representatives,Chisholm,Vic.,5.3.1983,,11.7.1987,defeated,ALP
360,,,McArthur,Fergus,Stewart,,,representatives,Corangamite,Vic.,18.2.1984,by_election,24.11.2007,defeated,LIB
143,,,McAuliffe,Ronald,Edward,,,senate,,Qld,1.7.1971 ,,30.6.1981 ,retired,ALP
144,,,McClelland,Douglas,,,,senate,,NSW,1.7.1962 ,,23.1.1987 ,resigned,ALP
361,,,McClelland,Robert,Bruce,,,representatives,Barton,NSW,2.3.1996,, ,still_in_office,ALP
