member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
43,,,Bishop,Julie,Isabel,,,representatives,Curtin,WA,3.10.1998,, ,still_in_office,LIB
16,,,Bishop,Thomas,Mark,,,senate,,WA,1.7.1996,,,still_in_office,ALP
17,,,Bishop,Reginald,,,,senate,,SA,1.7.1962,,30.6.1981,retired,ALP
18,,,Bjelke-Petersen,Florence,Isabel,,,senate,,Qld,12.3.1981,section_15,30.6.1993,retired,NPA
19,,,Black,John,Rees,,,senate,,Qld,1.12.1984,,30.6.1990,defeated,ALP
44,,,Blanchard,Cecil,Allen,,,representatives,Moore,WA,5.3.1983,,24.3.1990,defeated,ALP
45,,,Blewett,Neal,,,,representatives,Bonython,SA,10.12.1977,,11.2.1994,resigned,ALP
46,,,Blunt,Charles,William,,,representatives,Richmond,NSW,18.2.1984,by_election,24.3.1990,defeated,NPA
20,,,Bolkus,Nick,,,,senate,,SA,1.7.1981,,30.6.2005,retired,ALP
21,,,Bonner,Neville,Thomas,,,senate,,Qld,11.6.1971,section_15,4.2.1983,defeated,IND
22,,,Boswell,Ronald,Leslie Doyle,,,senate,,Qld,5.3.1983,,,still_in_office,NPA
47,,,Bourchier,John,William,,,representatives,Bendigo,Vic.,2.12.1972,,5.3.1983,defeated,LIB
23,,,Bourne,Vicki,Worrall,,,senate,,NSW,1.7.1990,,30.6.2002,defeated,AD
48,,,Bowen,Christopher,Eyles,,,representatives,Prospect,NSW,9.10.2004,, ,still_in_office,ALP
49,,,Bowen,Lionel,Frost,,,representatives,Kingsford Smith,NSW,25.10.1969,,19.2.1990,retired,ALP
24,,,Boyce,Suzanne,Kay,,,senate,,Qld,19.4.2007,section_15,,still_in_office,LIB
50,,,Bradbury,David,John,,,representatives,Lindsay,NSW,24.11.2007,,,still_in_office,ALP
51,,,Bradfield,James,Mark,,,representatives,Barton,NSW,13.12.1975,,5.3.1983,defeated,LIB
52,,,Bradford,John,Walter,,,representatives,McPherson,Qld,24.3.1990,,3.10.1998,defeated,CDP
53,,,Braithwaite,Raymond,Allen,,,representatives,Dawson,Qld,13.12.1975,,29.1.1996,retired,NPA
25,,,Brandis,George,Henry,,,senate,,Qld,16.5.2000,section_15,,still_in_office,LIB
54,,,Brereton,Laurence,John,,,representatives,Kingsford Smith,NSW,24.3.1990,,31.8.2004,retired,ALP
55,,,Broadbent,Russell,Evan,,,representatives,Corinella,Vic.,24.3.1990,,13.3.1993,defeated,LIB
56,,,Broadbent,Russell,Evan,,,representatives,McMillan,Vic.,2.3.1996,,3.10.1998,defeated,LIB
57,,,Broadbent,Russell,Evan,,,representatives,McMillan,Vic.,9.10.2004,,,still_in_office,LIB
58,,,Brough,Malcolm,Thomas,,,representatives,Longman,Qld,2.3.1996,,24.11.2007,defeated,LIB
26,,,Brown,Carol,Louise,,,senate,,Tas.,25.8.2005,section_15,,still_in_office,ALP
59,,,Brown,John,Joseph,,,representatives,Parramatta,NSW,10.12.1977,,19.2.1990,retired,ALP
# TODO: Joseph Tilley Brown should be removed when possible
