Senator the Hon David Feeney,03/03/2011,09/12/2011,Parliamentary Secretary for Defence
"The Hon Mike Kelly, AM, MP",03/03/2011,09/12/2011,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Catherine King, MP",03/03/2011,09/12/2011,Parliamentary Secretary for Health and Ageing
"The Hon Catherine King, MP",03/03/2011,09/12/2011,Parliamentary Secretary for Infrastructure and Transport
Senator the Hon Kate Lundy,03/03/2011,09/12/2011,Parliamentary Secretary for Immigration and Multicultural Affairs
Senator the Hon Kate Lundy,03/03/2011,09/12/2011,Parliamentary Secretary to the Prime Minister
The Hon Richard Marles,03/03/2011,09/12/2011,Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas,03/03/2011,09/12/2011,Parliamentary Secretary for Disabilities and Carers
"The Hon Julia Gillard, MP",09/12/2011,14/12/2011,Prime Minister
"The Hon Wayne Swan, MP",09/12/2011,14/12/2011,Treasurer
"The Hon Wayne Swan, MP",09/12/2011,14/12/2011,Deputy Prime Minister
"The Hon Kevin Rudd, MP",09/12/2011,14/12/2011,Minister for Foreign Affairs
Senator the Hon Chris Evans,09/12/2011,14/12/2011,"Minister for Tertiary Education, Skills, Jobs and Workplace Relations"
Senator the Hon Chris Evans,09/12/2011,14/12/2011,Leader of the Government in the Senate
"The Hon Simon Crean, MP",09/12/2011,14/12/2011,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean, MP",09/12/2011,14/12/2011,Minister for the Arts
"The Hon Stephen Smith, MP",09/12/2011,14/12/2011,Minister for Defence
"The Hon Stephen Smith, MP",09/12/2011,14/12/2011,Deputy Leader of the House
"The Hon Nicola Roxon, MP",09/12/2011,14/12/2011,Minister for Health and Ageing
"The Hon Jenny Macklin, MP",09/12/2011,14/12/2011,"Minister for Families, Housing, Community Services and Indigenous Affairs"
"The Hon Anthony Albanese, MP",09/12/2011,14/12/2011,Minister for Infrastructure and Transport
"The Hon Anthony Albanese, MP",09/12/2011,14/12/2011,Leader of the House
Senator the Hon Stephen Conroy,09/12/2011,14/12/2011,"Minister for Broadband, Communications and the Digital Economy"
Senator the Hon Stephen Conroy,09/12/2011,14/12/2011,Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy,09/12/2011,14/12/2011,Deputy Leader of the Government in the Senate
Senator the Hon Kim Carr,09/12/2011,14/12/2011,"Minister for Innovation, Industry, Science and Research"
Senator the Hon Penny Wong,09/12/2011,14/12/2011,Minister for Finance and Deregulation
"The Hon Peter Garrett, AM, MP",09/12/2011,14/12/2011,"Minister for School Education, Early Childhood and Youth"
"The Hon Robert McClelland, MP",09/12/2011,14/12/2011,Attorney-General
"The Hon Robert McClelland, MP",09/12/2011,14/12/2011,Vice-President of the Executive Council
Senator the Hon Joseph Ludwig,09/12/2011,14/12/2011,"Minister for Agriculture, Fisheries and Forestry"
Senator the Hon Joseph Ludwig,09/12/2011,14/12/2011,Minister Assisting the Attorney-General on Queensland Floods Recovery
Senator the Hon Joseph Ludwig,09/12/2011,14/12/2011,Manager of Government Business in the Senate
"The Hon Tony Burke, MP",09/12/2011,14/12/2011,"Minister for Sustainability, Environment, Water, Population and Communities"
"The Hon Martin Ferguson, MP",09/12/2011,14/12/2011,Minister for Resources and Energy
"The Hon Martin Ferguson, MP",09/12/2011,14/12/2011,Minister for Tourism
"The Hon Chris Bowen, MP",09/12/2011,14/12/2011,Minister for Immigration and Citizenship
"The Hon Dr Craig Emerson, MP",09/12/2011,14/12/2011,Minister for Trade
"The Hon Greg Combet, AM, MP",09/12/2011,14/12/2011,Minister for Climate Change and Energy Efficiency
"The Hon Tanya Plibersek, MP",09/12/2011,14/12/2011,Minister for Human Services
"The Hon Tanya Plibersek, MP",09/12/2011,14/12/2011,Minister for Social Inclusion
"The Hon Brendan O'Connor, MP",09/12/2011,14/12/2011,Minister for Home Affairs
"The Hon Brendan O'Connor, MP",09/12/2011,14/12/2011,Minister for Justice
"The Hon Brendan O'Connor, MP",09/12/2011,14/12/2011,Minister for Privacy and Freedom of Information
"The Hon Kate Ellis, MP",09/12/2011,14/12/2011,Minister for Employment Participation and Childcare
"The Hon Kate Ellis, MP",09/12/2011,14/12/2011,Minister for the Status of Women
Senator the Hon Mark Arbib,09/12/2011,14/12/2011,Minister for Indigenous Employment and Economic Development
Senator the Hon Mark Arbib,09/12/2011,14/12/2011,Minister for Sport
Senator the Hon Mark Arbib,09/12/2011,14/12/2011,Minister for Social Housing and Homelessness
Senator the Hon Nick Sherry,09/12/2011,14/12/2011,Minister for Small Business
Senator the Hon Nick Sherry,09/12/2011,14/12/2011,Minister Assisting on Deregulation and Public Sector Superannuation
Senator the Hon Nick Sherry,09/12/2011,14/12/2011,Minister Assisting the Minister for Tourism
"The Hon Warren Snowdon, MP",09/12/2011,14/12/2011,Minister for Veterans' Affairs 
"The Hon Warren Snowdon, MP",09/12/2011,14/12/2011,Minister for Defence Science and Personnel
"The Hon Warren Snowdon, MP",09/12/2011,14/12/2011,Minister for Indigenous Health
"The Hon Warren Snowdon, MP",09/12/2011,14/12/2011,Minister Assisting the Prime Minister on the Centenary of ANZAC
"The Hon Bill Shorten, MP",09/12/2011,14/12/2011,Assistant Treasurer
"The Hon Bill Shorten, MP",09/12/2011,14/12/2011,Minister for Financial Services and Superannuation
"The Hon Mark Butler, MP",09/12/2011,14/12/2011,Minister for Mental Health and Ageing
"The Hon Mark Butler, MP",09/12/2011,14/12/2011,Minister Assisting the Prime Minister on Mental Health Reform
"The Hon Gary Gray, AO, MP",09/12/2011,14/12/2011,Special Minister of State
"The Hon Gary Gray, AO, MP",09/12/2011,14/12/2011,Special Minister of State for the Public Service and Integrity
"The Hon Jason Clare, MP",09/12/2011,14/12/2011,Minister for Defence Materiel
"The Hon David Bradbury, MP",09/12/2011,14/12/2011,Parliamentary Secretary to the Treasurer
Senator the Hon Jacinta Collins,09/12/2011,14/12/2011,Parliamentary Secretary for School Education and Workplace Relations
"The Hon Julie Collins, MP",09/12/2011,14/12/2011,Parliamentary Secretary for Community Services
"The Hon Mark Dreyfus, QC, MP",09/12/2011,14/12/2011,Parliamentary Secretary for Climate Change and Energy Efficiency
"The Hon Mark Dreyfus, QC, MP",09/12/2011,14/12/2011,Cabinet Secretary
"The Hon Justine Elliot, MP",09/12/2011,14/12/2011,Parliamentary Secretary for Trade
Senator the Hon Don Farrell,09/12/2011,14/12/2011,Parliamentary Secretary for Sustainability and Urban Water
Senator the Hon David Feeney,09/12/2011,14/12/2011,Parliamentary Secretary for Defence
"The Hon Mike Kelly, AM, MP",09/12/2011,14/12/2011,"Parliamentary Secretary for Agriculture, Fisheries and Forestry"
"The Hon Catherine King, MP",09/12/2011,14/12/2011,Parliamentary Secretary for Health and Ageing
"The Hon Catherine King, MP",09/12/2011,14/12/2011,Parliamentary Secretary for Infrastructure and Transport
Senator the Hon Kate Lundy,09/12/2011,14/12/2011,Parliamentary Secretary for Immigration and Multicultural Affairs
Senator the Hon Kate Lundy,09/12/2011,14/12/2011,Parliamentary Secretary to the Prime Minister
The Hon Richard Marles,09/12/2011,14/12/2011,Parliamentary Secretary for Pacific Island Affairs
Senator the Hon Jan McLucas,09/12/2011,14/12/2011,Parliamentary Secretary for Disabilities and Carers
"The Hon Julia Gillard, MP",14/12/2011,03/05/2012,Prime Minister
"The Hon Wayne Swan, MP",14/12/2011,03/05/2012,Treasurer
"The Hon Wayne Swan, MP",14/12/2011,03/05/2012,Deputy Prime Minister
Senator the Hon Chris Evans,14/12/2011,03/05/2012,"Minister for Tertiary Education, Skills, Science and Research"
Senator the Hon Chris Evans,14/12/2011,03/05/2012,Leader of the Government in the Senate
Senator the Hon Stephen Conroy,14/12/2011,03/05/2012,"Minister for Broadband, Communications and the Digital Economy"
Senator the Hon Stephen Conroy,14/12/2011,03/05/2012,Minister Assisting the Prime Minister on Digital Productivity
Senator the Hon Stephen Conroy,14/12/2011,03/05/2012,Deputy Leader of the Government in the Senate
"The Hon Simon Crean, MP",14/12/2011,03/05/2012,"Minister for Regional Australia, Regional Development and Local Government"
"The Hon Simon Crean, MP",14/12/2011,03/05/2012,Minister for the Arts
