member count,person count,name,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
829,,Chris Ketter,,QLD,1.7.2014,,1.7.2019,defeated,ALP
830,,Jacqui Lambie,,Tasmania,1.7.2014,,23.11.2014,changed_party,PUP
831,,Glenn Lazarus,,QLD,1.7.2014,,12.3.2015,changed_party,PUP
832,,David Leyonhjelm,,NSW,1.7.2014,,1.3.2019,resigned,LDP
833,,James McGrath,,QLD,1.7.2014,,,still_in_office,LNP
834,,Ricky Muir,,Victoria,1.7.2014,,9.5.2016,defeated,MEP
835,,Linda Reynolds,,WA,1.7.2014,,3.5.2025,retired,LIB
836,,Janet Rice,,Victoria,1.7.2014,,19.4.2024,resigned,GRN
837,,Dio Wang,,WA,1.7.2014,,9.5.2016,defeated,PUP
838,,Stephen Shane Parry,,Tas.,7.7.2014,changed_party,12.11.2017,resigned,PRES
839,,Gavin Mark Marshall,,Vic.,7.7.2014,changed_party,9.5.2016,changed_party,DPRES
840,,Stephen Shane Parry,,Tas.,4.7.2011,changed_party,6.7.2014,changed_party,DPRES
841,,John Madigan,,Victoria,4.9.2014,,9.5.2016,defeated,IND
842,,Jacqui Lambie,,Tasmania,24.11.2014,,14.11.2017,resigned,IND
843,,Glenn Lazarus,,QLD,13.3.2015,,9.5.2016,defeated,IND
844,,Katy Gallagher,,ACT,26.3.2015,,10.5.2018,disqualified,ALP
845,,Jenny McAllister,,NSW,6.5.2015,,,still_in_office,ALP
846,,Jo Lindgren,,QLD,21.5.2015,section_15,9.5.2016,defeated,LIB
847,,Nick McKim,,Tasmania,19.8.2015,section_15,,still_in_office,GRN
848,,Robert Simms,,SA,22.9.2015,section_15,9.5.2016,defeated,GRN
849,,James Paterson,,Victoria,9.3.2016,section_15,,still_in_office,LIB
850,,Patrick Dodson,,WA,28.4.2016,section_15,26.1.2024,resigned,ALP
851,,Jonathon Duniam,,Tasmania,1.7.2016,,,still_in_office,LIB
852,,Brian Burston,,NSW,1.7.2016,changed_party,18.06.2018,changed_party,PHON
853,,Anthony Chisholm,,QLD,1.7.2016,,,still_in_office,ALP
854,,Rod Culleton,,WA,1.7.2016,,11.1.2017,disqualified,PHON
855,,Don Farrell,,SA,1.7.2016,,,still_in_office,ALP
856,,Stirling Griff,,SA,1.7.2016,,10.4.2018,changed_party,NXT
857,,Pauline Lee Hanson,,QLD,1.7.2016,,,still_in_office,PHON
858,,Derryn Hinch,,Victoria,1.7.2016,,1.7.2019,defeated,DHJP
859,,Jane Hume,,Victoria,1.7.2016,,,still_in_office,LIB
860,,Skye Kakoschke-Moore,,SA,1.7.2016,,22.11.2017,resigned,NXT
861,,Malarndirri McCarthy,,NT,2.7.2016,,,still_in_office,ALP
862,,Louise Pratt,,WA,1.7.2016,,3.5.2025,retired,ALP
863,,Malcolm Roberts,,QLD,1.7.2016,,27.10.2017,disqualified,PHON
864,,Murray Watt,,QLD,1.7.2016,,,still_in_office,ALP
865,,Kimberley Kitching,,Vic.,25.10.2016,section_15,10.3.2022,died,ALP
866,,Cory Bernardi,,SA,7.2.2017,changed_party,20.1.2020,resigned,AC
867,,Nick Xenophon,,SA,1.7.2013,changed_party,31.10.2017,resigned,NXT
868,,Peter Georgiou,,WA,20.3.2017,,1.7.2019,defeated,PHON
869,,Lucy Gichuhi,,SA,19.4.2017,declared_elected,3.5.2017,changed_party,FFP
870,,Lucy Gichuhi,,SA,3.5.2017,changed_party,2.2.2018,changed_party,IND
871,,Gavin Mark Marshall,,Vic.,9.5.2016,changed_party,1.7.2019,defeated,ALP
872,,Sue Lines,,WA,30.9.2016,changed_party,26.7.2022,changed_party,DPRES
873,,Slade Brockman,,WA,16.8.2017,section_15,18.10.2021,changed_party,LIB
874,,Jordon Steele-John,,WA,10.11.2017,recount,,still_in_office,GRN
875,,Andrew Bartlett,,Qld,10.11.2017,recount,27.8.2018,resigned,GRN
876,,Fraser Anning,,Qld,10.11.2017,recount,15.1.2018,changed_party,PHON
877,,Scott Ryan,,Victoria,13.11.2017,,13.10.2021,resigned,PRES
878,,Steve Martin,,Tasmania,9.2.2018,high_court,1.7.2019,defeated,IND
# Ordering here has gotten a little out of synch as the choosing of,,,,,,,,,
# 888 for Rex Patrick was a mistake and we'll just have to fill in the gaps,,,,,,,,,
# until we get past 888 again and then things will be simpler once more,,,,,,,,,
879,,Fraser Anning,,Qld,15.1.2018,changed_party,4.6.2018,changed_party,IND
880,,Richard Mansell Colbeck,,Tasmania,9.2.2018,high_court,,still_in_office,LIB
881,,Kristina Keneally,,NSW,14.2.2018,section_15,13.4.2022,resigned,ALP
882,,Fraser Anning,,Qld,4.6.2018,changed_party,25.10.2018,changed_party,KAP
883,,Mehreen Faruqi,,NSW,18.8.2018,section_15,,still_in_office,GRN
884,,Larissa Waters,,Queensland,6.9.2018,section_15,,still_in_office,GRN
888,,Rex Patrick,,SA,14.11.2017,section_15,10.4.2018,changed_party,NXT
889,,Jim Molan,,NSW,22.12.2017,,1.7.2019,defeated,LIB
890,,Amanda Stoker,,Qld,21.3.2018,section_15,21.5.2022,defeated,LIB
891,,Tim Storer,,SA,16.2.2018,,26.2.2018,changed_party,NXT
892,,Tim Storer,,SA,26.2.2018,changed_party,1.7.2019,defeated,IND
893,,David Smith,,ACT,23.5.2018,,11.4.2019,resigned,ALP
894,,Stirling Griff,,SA,10.4.2018,changed_party,21.5.2022,defeated,CA
895,,Rex Patrick,,SA,10.4.2018,changed_party,10.8.2020,changed_party,CA
896,,Fraser Anning,,Qld,25.10.2018,changed_party,1.7.2019,defeated,IND
897,,Brian Burston,,NSW,18.6.2018,changed_party,1.7.2019,defeated,UAP
898,,Lucy Gichuhi,,SA,2.2.2018,changed_party,1.7.2019,defeated,LIB
899,,Wendy Askew,,Tasmania,6.3.2019,section_15,,still_in_office,LIB
900,,Raff Ciccone,,Victoria,6.3.2019,section_15,,still_in_office,ALP
901,,Duncan Spender,,NSW,20.3.2019,section_15,1.7.2019,defeated,LDP
902,,Alex Antic,,SA,1.7.2019,,,still_in_office,LIB
903,,Tim Ayres,,NSW,1.7.2019,,,still_in_office,ALP
904,,Andrew Bragg,,NSW,1.7.2019,,,still_in_office,LIB
905,,Claire Chandler,,Tasmania,1.7.2019,,,still_in_office,LIB
906,,Perin Davey,,NSW,1.7.2019,,3.5.2025,defeated,NP
907,,Katy Gallagher,,ACT,1.7.2019,,,still_in_office,ALP
908,,Nita Green,,Qld,1.7.2019,,,still_in_office,ALP
909,,Hollie Hughes,,NSW,1.7.2019,,3.5.2025,defeated,LIB
910,,Jacqui Lambie,,Tasmania,1.7.2019,,,still_in_office,JLN
911,,Susan McDonald,,Qld,1.7.2019,,,still_in_office,NP
912,,Sam McMahon,,NT,1.7.2019,,21.5.2022,defeated,CLP
913,,Matt O'Sullivan,,WA,1.7.2019,,,still_in_office,LIB
914,,Gerard Rennick,,Qld,1.7.2019,,25.8.2024,changed_party,LIB
915,,Malcolm Roberts,,Qld,1.7.2019,,,still_in_office,PHON
916,,Paul Scarr,,Qld,1.7.2019,,,still_in_office,LIB
917,,Tony Sheldon,,NSW,1.7.2019,,,still_in_office,ALP
918,,Marielle Smith,,SA,1.7.2019,,,still_in_office,ALP
919,,David Van,,Vic,1.7.2019,,19.6.2023,changed_party,LIB
920,,Jess Walsh,,Vic,1.7.2019,,,still_in_office,ALP
921,,Sarah Henderson,,Vic,11.9.2019,section_15,,still_in_office,LIB
922,,Jim Molan,,NSW,11.11.2019,section_15,16.1.2023,died,LIB
923,,Andrew McLachlan,,SA,6.2.2020,section_15,26.7.2022,changed_party,LIB
924,,Rex Patrick,,SA,10.8.2020,changed_party,21.5.2022,defeated,IND
925,,Lidia Thorpe,,Vic,4.9.2020,section_15,6.2.2023,changed_party,GRN
926,,Ben Small,,WA,25.11.2020,section_15,21.5.2022,defeated,LIB
927,,Dorinda Cox,,WA,14.9.2021,section_15,2.6.2025,changed_party,GRN
928,,Karen Grogan,,SA,21.9.2021,section_15,,still_in_office,ALP
929,,Slade Brockman,,WA,18.10.2021,changed_party,26.7.2022,changed_party,PRES
930,,Greg Mirabella,,Vic,2.12.2021,section_15,21.5.2022,defeated,LIB
# Election 21.5.2022,,,,,,,,,
931,,Penny Allman-Payne,,Qld,21.5.2022,,,still_in_office,GRN
932,,Ralph Babet,,Vic,21.5.2022,,,still_in_office,UAP
933,,Ross Cadell,,NSW,21.5.2022,,,still_in_office,NP
934,,Kerrynne Liddle,,SA,21.5.2022,,,still_in_office,LIB
935,,Jacinta Nampijinpa Price,,NT,21.5.2022,,,still_in_office,CLP
936,,Fatima Payman,,WA,21.5.2022,,4.7.2024,changed_party,ALP
937,,Barbara Pocock,,SA,21.5.2022,,,still_in_office,GRN
938,,David Pocock,,ACT,21.5.2022,,,still_in_office,IND
939,,David Shoebridge,,NSW,21.5.2022,,,still_in_office,GRN
940,,Jana Stewart,,Vic,21.5.2022,,,still_in_office,ALP
941,,Tammy Tyrrell,,Tas,21.5.2022,,28.3.2024,changed_party,JLN
942,,Linda White,,Vic,21.5.2022,,29.2.2024,died,ALP
943,,Slade Brockman,,WA,26.7.2022,changed_party,,still_in_office,LIB
944,,Sue Lines,,WA,26.7.2022,changed_party,,still_in_office,PRES
945,,Andrew McLachlan,,SA,26.7.2022,changed_party,,still_in_office,DPRES
946,,Lidia Thorpe,,Vic,6.2.2023,changed_party,,still_in_office,IND
947,,Maria Kovacic,,NSW,31.5.2023,section_15,,still_in_office,LIB
948,,David Van,,Vic,19.6.2023,changed_party,3.5.2025,defeated,IND
949,,Dave Sharma,,NSW,30.11.2023,section_15,,still_in_office,LIB
950,,Varun Ghosh,,WA,1.2.2024,section_15,,still_in_office,ALP
951,,Lisa Darmanin,,Vic,24.6.2024,section_15,,still_in_office,ALP
952,,Steph Hodgins-May,,Vic,1.5.2024,section_15,,still_in_office,GRN
953,,Fatima Payman,,WA,4.7.2024,changed_party,9.10.2024,changed_party,IND
954,,Gerard Rennick,,Qld,25.8.2024,changed_party,10.9.2024,changed_party,IND
955,,Tammy Tyrrell,,Tas,28.3.2024,changed_party,,still_in_office,IND
956,,Leah Blyth,,SA,6.2.2025,section_15,,still_in_office,LIB
# Changed party,,,,,,,,,
957,,Dorinda Cox,,WA,2.6.2025,changed_party,,still_in_office,ALP
958,,Fatima Payman,,WA,9.10.2024,changed_party,,still_in_office,AV
959,,Gerard Rennick,,Qld,10.9.2024,changed_party,3.5.2025,defeated,GRPF
# Replaced resigned senator,,,,,,,,,
960,,Josh Dolega,,Tas,27.5.2025,section_15,,still_in_office,ALP
# Election 3.5.2025,,,,,,,,,
961,,Michelle Ananda-Rajah,,Vic,3.5.2025,,,still_in_office,ALP
962,,Jessica Collins,,NSW,3.5.2025,,,still_in_office,LIB
963,,Richard Dowling,,Tas,3.5.2025,,,still_in_office,ALP
964,,Corinne Mulholland,,Qld,3.5.2025,,,still_in_office,ALP
965,,Charlotte Walker,,SA,3.5.2025,,,still_in_office,ALP
966,,Ellie Whiteaker,,WA,3.5.2025,,,still_in_office,ALP
967,,Tyron Whitten,,WA,3.5.2025,,,still_in_office,PHON
968,,Warwick Stacey,,NSW,3.5.2025,,19.8.2025,resigned,PHON
969,,Sean Bell,,NSW,18.9.2025,,,still_in_office,PHON
