Name,State,Party,Start of service,Start reason,End of service,End reason
"Fierravanti-Wells, Concetta Anna",NSW,LIB,5.5.2005 ,section_15,,
"Fifield, Mitchell Peter",Vic.,LIB,31.3.2004 ,section_15,,
"Fisher, Mary Josephine",SA,LIB,6.6.2007,section_15,,
"Foreman, Dominic John",SA,ALP,1.7.1981 ,,15.9.1997 ,resigned
"Forshaw, Michael George",NSW,ALP,10.5.1994,section_15,,
"Georges, George",Qld,IND,1.7.1968 ,,5.6.1987 ,defeated
"Gibbs, Brenda",Qld,ALP,1.7.1996 ,,30.6.2002 ,defeated
"Gibson, Brian Francis",Tas.,LIB,1.7.1993 ,,22.2.2002 ,resigned
"Gietzelt, Arthur Thomas",NSW,ALP,1.7.1971 ,,27.2.1989 ,resigned
"Giles, Patricia Jessie",WA,ALP,1.7.1981 ,,30.6.1993 ,retired
"Greig, Brian Andrew",WA,AD,1.7.1999,,30.5.2005 ,defeated
"Grimes, Donald James",Tas.,ALP,18.5.1974 ,,2.4.1987 ,resigned
"Guilfoyle, Margaret Georgina Constance",Vic.,LIB,1.7.1971 ,,5.6.1987 ,retired
"Haines, Janine",SA,AD,1.7.1981 ,,1.3.1990 ,resigned
"Haines, Janine",SA,AD,14.12.1977 ,section_15,30.6.1978 ,term_expired
"Hamer, David John",Vic.,LIB,1.7.1978 ,,30.6.1990 ,retired
"Harradine, Brian",Tas.,IND,13.12.1975 ,,30.6.2005 ,retired
"Harris, Leonard William",Qld,PHON,2.7.1999,,30.6.2005 ,defeated
"Hearn, Jean Margaret",Tas.,ALP,15.10.1980 ,section_15,30.6.1985 ,retired
"Heffernan, William Daniel",NSW,LIB,18.9.1996,section_15,,
"Hendrickson, Albion",Vic.,ALP,1.7.1947 ,,30.6.1971 ,retired
"Herron, John Joseph",Qld,LIB,1.7.1990 ,,5.9.2002 ,resigned
"Hill, Heather Elaine",Qld,PHON,1998 ,,23.9.1999 ,disqualified
"Hill, Robert Murray",SA,LIB,1.7.1981 ,,15.3.2006 ,resigned
"Hogg, John Joseph",Qld,ALP,1.7.1996 ,,,
"Humphries, Gary John Joseph ",ACT,LIB,18.2.2003 ,section_15,,
"Hurley, Annette Kay",SA,ALP,1.7.2005 ,,,
"Hutchins, Stephen Patrick",NSW,ALP,14.10.1998 ,section_15,,
"Jenkins, Jean Alice",WA,AD,11.7.1987 ,,30.6.1990 ,defeated
"Jessop, Donald Scott",SA,IND,1.7.1971 ,,5.6.1987 ,defeated
"Johnston, David Albert Lloyd",WA,LIB,1.7.2002 ,,,
"Jones, Gerry Norman",Qld,ALP,1.7.1981 ,,30.6.1996 ,retired
"Joyce, Barnaby Thomas Gerrard",Qld,NP,1.7.2005,,,
"Keeffe, James Bernard",Qld,ALP,1.7.1965 ,,4.2.1983 ,retired
"Kemp, Charles Roderick",Vic.,LIB,1.7.1990,,,
"Kernot, Cheryl",Qld,AD,1.7.1990 ,,15.10.1997 ,resigned
"Kilgariff, Bernard Francis",NT,LIB,13.12.1975 ,,5.6.1987 ,retired
"Kirk, Linda Jean",SA,ALP,1.7.2002 ,,,
"Knight, John William",ACT,LIB,13.12.1975 ,,4.3.1981 ,died
"Knowles, Susan Christine",WA,LIB,1.12.1984 ,,30.6.2005 ,retired
"Lajovic, Milivoj Emil",NSW,LIB,13.12.1975 ,,30.6.1985 ,retired
"Laucke, Condor Louis",SA,LIB,2.11.1967 ,section_15,30.6.1981 ,retired
"Lees, Meg Heather",SA,IND,4.4.1990 ,section_15,30.6.2005 ,defeated
"Lewis, Austin William Russell",Vic.,LIB,17.12.1976 ,section_15,30.6.1993 ,retired
"Lightfoot, Philip Ross",WA,LIB,19.5.1997,section_15,,
"Loosley, Stephen",NSW,ALP,1.7.1990 ,,19.5.1995 ,resigned
"Ludwig, Joseph William",Qld,ALP,1.7.1999,,,
"Lundy, Kate Alexandra",ACT,ALP,2.3.1996 ,,,
"Macdonald, Ian Douglas",Qld,LIB,1.7.1990,,,
"Macdonald, John Alexander Lindsay",NSW,NP,1.7.1993 ,,30.6.1999 ,defeated
"Macdonald, John Alexander Lindsay",NSW,NP,4.5.2000 ,section_15,,
"MacGibbon, David John",Qld,LIB,1.7.1978 ,,30.6.1999 ,defeated
"Mackay, Susan Mary",Tas.,ALP,8.3.1996 ,section_15,29.7.2005 ,resigned
"Macklin, Michael John",Qld,AD,1.7.1981 ,,30.6.1990 ,retired
"Maguire, Graham Ross",SA,ALP,5.3.1983 ,,30.6.1993 ,defeated
"Margetts, Diane Elizabeth",WA,GWA,1.7.1993 ,,30.6.1999 ,defeated
"Marshall, Gavin Mark",Vic.,ALP,1.7.2002 ,,,
"Martyr, John Raymond",WA,LIB,11.3.1981 ,section_15,4.2.1983 ,defeated
"Mason, Brett John",Qld,LIB,1.7.1999 ,,,
"Mason, Colin Victor James",NSW,AD,1.7.1978 ,,5.6.1987 ,retired
"Maunsell, Charles Ronald",Qld,NCP,1.7.1968 ,,30.6.1981 ,defeated
"McAuliffe, Ronald Edward",Qld,ALP,1.7.1971 ,,30.6.1981 ,retired
"McClelland, Douglas",NSW,ALP,1.7.1962 ,,23.1.1987 ,resigned
"McEwen, Anne",SA,ALP,1.7.2005 ,,,
"McGauran, Julian John James",Vic.,NP,11.7.1987 ,,30.6.1990 ,defeated
"McGauran, Julian John James",Vic.,NP,1.7.1993,,,
"McIntosh, Gordon Douglas",WA,ALP,18.5.1974 ,,5.6.1987 ,retired
"McKiernan, James Philip",WA,ALP,1.12.1984 ,,30.6.2002 ,retired
"McLaren, Geoffrey Thomas",SA,ALP,1.7.1971 ,,4.2.1983 ,retired
"McLean, Paul Alexander",NSW,AD,11.7.1987 ,,23.8.1991 ,resigned
"McLucas, Jan Elizabeth",Qld,ALP,1.7.1999,,,
"McMullan, Robert Francis",ACT,ALP,16.2.1988 ,section_15,6.2.1996 ,resigned
"Melzer, Jean Isobelle",Vic.,ALP,18.5.1974 ,,30.6.1981 ,defeated
"Messner, Anthony John",SA,LIB,13.12.1975 ,,17.4.1990 ,resigned
"Milne, Christine Anne",Tas.,GRN,1.7.2005,,,
"Minchin, Nicholas Hugh",SA,LIB,1.7.1993,,,
"Missen, Alan Joseph",Vic.,LIB,18.5.1974 ,,30.3.1986 ,died
"Moore, Claire Mary",Qld,ALP,1.7.2002,,,
"Morris, John Joseph",NSW,ALP,1.7.1985 ,,30.6.1990 ,retired
"Mulvihill, James Anthony",NSW,ALP,1.7.1965 ,,4.2.1983 ,retired
"Murphy, Shayne Michael",Tas.,IND,1.7.1993 ,,30.6.2005 ,defeated
"Murray, Andrew James Marshall",WA,AD,1.7.1996,,,
"Nash, Fiona Joy",NSW,NP,1.7.2005 ,,,
"Neal, Belinda Jane",NSW,ALP,8.3.1994,section_15,3.9.1998 ,resigned
"Neal, Laurence William",Vic.,NCP,11.3.1980 ,section_15,30.6.1981 ,defeated
"Nettle, Kerry Michelle",NSW,AG,1.7.2002 ,,,
"Newman, Jocelyn Margaret",Tas.,LIB,13.3.1986 ,section_15,1.2.2002 ,resigned
"Olsen, John Wayne",SA,LIB,7.5.1990 ,section_15,4.5.1992 ,resigned
"O'Brien, Kerry Williams Kelso",Tas.,ALP,5.9.1996,section_15,,
